Country Code,City,restaurant_count
1,New Delhi,5240
1,Gurgaon,1070
1,Noida,987
1,Faridabad,229
1,Ghaziabad,25
1,Ahmedabad,21
1,Jaipur,20
1,Mumbai,20
1,Kolkata,20
1,Indore,20
1,Coimbatore,20
1,Bangalore,20
1,Chennai,20
216,Boise,20
216,Cedar Rapids/Iowa City,20
216,Dalton,20
216,Columbus,20
216,Davenport,20
216,Des Moines,20
216,Gainesville,20
