country,restaurant_count,avg_rating,median_rating,share_rating_ge_4,avg_cost_for_two,median_cost_for_two,corr_cost_rating,corr_votes_rating
India,8157,2.585913938948143,3.1,0.09476523231580238,632.1171999509623,500.0,0.3410791463779363,0.28780663814751073
United States,434,4.004377880184332,4.0,0.5691244239631337,26.152073732718893,25.0,0.08996989559502241,0.5417548894956074
Brazil,60,3.763333333333333,4.15,0.6,134.66666666666666,100.0,0.32760174789118723,0.485740703776197
Australia,24,3.658333333333333,3.7,0.25,24.083333333333332,20.0,-0.4115513659098685,0.45750147144648967
Philippines,22,4.46818181818182,4.5,0.9545454545454546,1606.8181818181818,1150.0,0.2487417225808586,0.3905211069434813
Singapore,20,3.5750000000000006,3.75,0.15,155.75,80.0,0.3661690018282222,0.3105379697463265
