feature,importance
log_votes,0.5573428453467477
Primary Cuisine,0.08879399171666788
Country Code,0.08465831267412427
City,0.07150726494045632
Average Cost for two,0.059391044094345605
cost_z,0.055581695226934194
cuisine_count,0.04151872765890144
Online delivery,0.02024884443069521
Price range,0.01201088683351436
Table booking,0.008946387077613142
