feature,importance
log_votes,0.6269892356330753
Country Code,0.10942303124601035
Primary Cuisine,0.07705688836853954
City,0.05721891538621788
Average Cost for two,0.04258009476391458
cost_z,0.03651374128790397
cuisine_count,0.020492435663208436
Online delivery,0.016008325019340942
Price range,0.007521176502587861
Table booking,0.0061961561292010955
