feature,importance
log_votes,0.3548518948888943
Aggregate rating,0.2150210104526995
City,0.13184864434180152
cost_z,0.10099197490888953
Average Cost for two,0.09981592483289475
Country Code,0.028266610482296454
Price range,0.026588536963070036
Online delivery,0.02558341785090551
Table booking,0.017031985278548437
